peak,slug,observer,h_peak,h_obs,distance,row,date,time,star,el_fe,el_ge
Pikes Peak,pikes_peak,Dr. Heffron,4300,2073,50551,3,01/27/25,18:43:07,39 Aquarii,2.571259,2.116652
Pikes Peak,pikes_peak,Dr. Heffron,4300,2073,50551,4,01/27/25,19:31:40,HD 217533,2.576620,2.122010
Pikes Peak,pikes_peak,Dr. Heffron,4300,2073,50551,5,01/30/25,18:31:22,39 Aquarii (under moon),2.563023,2.108416
Pikes Peak,pikes_peak,Dr. Heffron,4300,2073,50551,6,01/30/25,18:36:02,HD 211410,2.572243,2.117636
Pikes Peak,pikes_peak,Dr. Heffron,4300,2073,50551,7,01/30/25,19:19:19,HD 217429,2.576189,2.121579
Pikes Peak,pikes_peak,Dr. Heffron,4300,2073,50551,8,01/30/25,19:21:19,HD 217721,2.565196,2.110586
Pikes Peak,pikes_peak,Dr. Heffron,4300,2073,50551,9,01/30/25,19:52:44,HD 221665,2.557369,2.102761
Pikes Peak,pikes_peak,Dr. Heffron,4300,2073,50551,10,01/30/25,19:58:27,Omega1 Aquarii,2.537649,2.083042
Pikes Peak,pikes_peak,Dr. Heffron,4300,2073,50551,11,01/30/25,20:08:28,HD 223559,2.551488,2.096874
Pikes Peak,pikes_peak,Dr. Heffron,4300,2073,50551,12,01/30/25,20:10:51,HD 223774,2.568583,2.113973
Pikes Peak,pikes_peak,Dr. Heffron,4300,2073,50551,13,01/30/25,20:45:31,HD 2345,2.555965,2.101355
Pikes Peak,pikes_peak,Dr. Heffron,4300,2073,50551,14,01/31/25,18:27:25,39 Aquarii,2.566379,2.111771
Pikes Peak,pikes_peak,Dr. Heffron,4300,2073,50551,15,01/31/25,19:13:47,TYC 5826-746-1,2.542652,2.088042
Pikes Peak,pikes_peak,Dr. Heffron,4300,2073,50551,16,01/31/25,19:15:57,HD 217533,2.574791,2.120181
Pikes Peak,pikes_peak,Dr. Heffron,4300,2073,50551,17,01/31/25,19:54:23,Omega1 Aquarii,2.562355,2.107747
